cor	gene
0.534	CRELD2
0.49	HSP90B1
0.483	HSPD1
0.472	MANF
0.449	SDF2L1
0.437	DNAJB11
0.432	HSPA5
0.432	CALR
0.428	C1QBP
0.427	SLIRP
0.426	HSP90AB1
0.418	HSPE1
0.409	HYOU1
0.402	MYDGF
0.401	HSP90AA1
0.391	TRMT112
0.384	PDIA4
0.378	TOMM40
0.374	SNRPE
0.37	COX6A1
0.368	CCT2
0.366	YBX1
0.364	PHB
0.358	RANBP1
0.357	PPIB
0.356	PDIA6
0.355	NDUFAB1
0.35	PDIA3
0.348	EEF1B2
0.346	FKBP4
0.346	CENPX
0.345	TIMM10
0.342	SLC35B1
0.34	IMPDH2
0.338	CCDC88A
0.338	ATP1B3
0.337	CCT6A
0.336	SRM
0.336	PRMT1
0.333	ORC6
0.332	GNL3
0.331	SEC13
0.328	TCP1
0.327	ODC1
0.324	CYP51A1
0.324	DYNLL1
0.324	TRAP1
0.323	ATP5MC3
0.322	BCL2L12
0.322	MT-ATP6
0.321	SNRPF
0.32	SELENOS
0.319	UQCRQ
0.318	RPL5
0.316	RPL37A
0.316	GPX4
0.315	DDOST
0.314	RPL7
0.314	ISOC2
0.313	CCT3
0.313	ARG2
0.312	RPN1
0.312	CTTN
0.312	RPL4
0.311	ALG5
0.31	CYC1
0.309	NDUFS6
0.309	CYCS
0.309	TUFM
0.308	MCM7
0.307	LRRC59
0.306	MRPL11
0.305	ERGIC3
0.302	MRPL41
0.301	STOML2
0.301	CDK2AP2
0.301	ATP2A2
0.301	CCT8
0.3	NPM1
0.3	NHP2
0.299	PRKDC
0.298	YIF1B
0.297	GADD45GIP1
0.297	RPL3
0.296	HSD17B12
0.295	POLR2I
0.294	NUDC
0.293	TKT
0.292	POLR2L
0.291	MLEC
0.291	UBTF
0.29	RPS17
0.29	CHCHD10
0.289	SSR3
0.289	HNRNPAB
0.289	PRDX4
0.289	RAN
0.289	MRPL52
0.289	EIF3L
0.288	OSTC
0.288	HSPB1
0.288	MIF
0.288	ST13
0.288	MT-ND4
0.287	GPI
0.286	SPR
0.286	RPS2
0.286	ATP5MC1
0.285	ACOT7
0.285	RPS6
0.284	EIF3I
0.284	RPS3A
0.284	LSM5
0.284	CHCHD2
0.283	MINOS1
0.283	COX5B
0.283	TIMM8B
0.283	ROMO1
0.282	LMAN2
0.282	CANX
0.281	CCT5
0.28	PSMB7
0.279	VDAC1
0.279	RPS13
0.279	MIS18A
0.278	NDUFB9
0.278	TOMM22
0.277	ILF2
0.276	MRTO4
0.276	RPL9
0.276	MORF4L2
0.276	ATP5PF
0.275	SSB
0.275	NME2
0.274	SSBP1
0.273	UBB
0.272	UROD
