cor	gene	rank
0.146	perm	1
0.136	perm	2
0.131	perm	3
0.129	perm	4
0.128	perm	5
0.124	perm	6
0.124	perm	7
0.124	perm	8
0.122	perm	9
0.118	perm	10
0.117	perm	11
0.116	perm	12
0.114	perm	13
0.114	perm	14
0.11	perm	15
0.11	perm	16
0.109	perm	17
0.108	perm	18
0.105	perm	19
0.104	perm	20
0.103	perm	21
0.103	perm	22
0.102	perm	23
0.101	perm	24
0.1	perm	25
0.099	perm	26
0.099	perm	27
0.098	perm	28
0.096	perm	29
0.096	perm	30
0.096	perm	31
0.096	perm	32
0.095	perm	33
0.095	perm	34
0.094	perm	35
0.093	perm	36
0.093	perm	37
0.093	perm	38
0.092	perm	39
0.092	perm	40
0.092	perm	41
0.091	perm	42
0.091	perm	43
0.09	perm	44
0.09	perm	45
0.088	perm	46
0.088	perm	47
0.088	perm	48
0.087	perm	49
0.087	perm	50
0.087	perm	51
0.086	perm	52
0.085	perm	53
0.084	perm	54
0.084	perm	55
0.084	perm	56
0.084	perm	57
0.084	perm	58
0.084	perm	59
0.084	perm	60
0.084	perm	61
0.083	perm	62
0.083	perm	63
0.083	perm	64
0.082	perm	65
0.082	perm	66
0.082	perm	67
0.082	perm	68
0.082	perm	69
0.082	perm	70
0.082	perm	71
0.081	perm	72
0.081	perm	73
0.08	perm	74
0.08	perm	75
0.08	perm	76
0.08	perm	77
0.079	perm	78
0.079	perm	79
0.079	perm	80
0.079	perm	81
0.078	perm	82
0.078	perm	83
0.077	perm	84
0.077	perm	85
0.077	perm	86
0.077	perm	87
0.076	perm	88
0.076	perm	89
0.076	perm	90
0.075	perm	91
0.075	perm	92
0.074	perm	93
0.074	perm	94
0.074	perm	95
0.074	perm	96
0.074	perm	97
0.074	perm	98
0.073	perm	99
0.073	perm	100
0.073	perm	101
0.072	perm	102
0.072	perm	103
0.072	perm	104
0.072	perm	105
0.072	perm	106
0.071	perm	107
0.071	perm	108
0.071	perm	109
0.071	perm	110
0.071	perm	111
0.071	perm	112
0.071	perm	113
0.071	perm	114
0.071	perm	115
0.071	perm	116
0.071	perm	117
0.07	perm	118
0.07	perm	119
0.07	perm	120
0.07	perm	121
0.07	perm	122
0.07	perm	123
0.07	perm	124
0.07	perm	125
0.07	perm	126
0.07	perm	127
0.07	perm	128
0.07	perm	129
0.07	perm	130
0.07	perm	131
0.069	perm	132
0.069	perm	133
0.069	perm	134
0.069	perm	135
0.069	perm	136
0.069	perm	137
0.069	perm	138
0.069	perm	139
0.069	perm	140
0.069	perm	141
0.068	perm	142
0.068	perm	143
0.068	perm	144
0.068	perm	145
0.068	perm	146
0.068	perm	147
0.067	perm	148
0.067	perm	149
0.067	perm	150
0.067	perm	151
0.067	perm	152
0.066	perm	153
0.066	perm	154
0.066	perm	155
0.066	perm	156
0.066	perm	157
0.066	perm	158
0.066	perm	159
0.066	perm	160
0.065	perm	161
0.065	perm	162
0.065	perm	163
0.065	perm	164
0.065	perm	165
0.065	perm	166
0.065	perm	167
0.065	perm	168
0.065	perm	169
0.065	perm	170
0.065	perm	171
0.065	perm	172
0.065	perm	173
0.064	perm	174
0.064	perm	175
0.064	perm	176
0.064	perm	177
0.064	perm	178
0.064	perm	179
0.064	perm	180
0.064	perm	181
0.064	perm	182
0.064	perm	183
0.064	perm	184
0.064	perm	185
0.064	perm	186
0.064	perm	187
0.064	perm	188
0.064	perm	189
0.064	perm	190
0.064	perm	191
0.064	perm	192
0.064	perm	193
0.063	perm	194
0.063	perm	195
0.063	perm	196
0.063	perm	197
0.063	perm	198
0.063	perm	199
0.063	perm	200
0.063	perm	201
0.063	perm	202
0.063	perm	203
0.063	perm	204
0.063	perm	205
0.063	perm	206
0.063	perm	207
0.063	perm	208
0.063	perm	209
0.063	perm	210
0.063	perm	211
0.062	perm	212
0.062	perm	213
0.062	perm	214
0.062	perm	215
0.062	perm	216
0.062	perm	217
0.062	perm	218
0.062	perm	219
0.062	perm	220
0.062	perm	221
0.062	perm	222
0.062	perm	223
0.062	perm	224
0.062	perm	225
0.062	perm	226
0.062	perm	227
0.061	perm	228
0.061	perm	229
0.061	perm	230
0.061	perm	231
0.061	perm	232
0.061	perm	233
0.061	perm	234
0.061	perm	235
0.061	perm	236
0.061	perm	237
0.061	perm	238
0.061	perm	239
0.061	perm	240
0.061	perm	241
0.061	perm	242
0.061	perm	243
0.06	perm	244
0.06	perm	245
0.06	perm	246
0.06	perm	247
0.06	perm	248
0.06	perm	249
0.06	perm	250
0.06	perm	251
0.06	perm	252
0.06	perm	253
0.06	perm	254
