gene	importance	cpm_se	cpm_neg
AC108134.2	0.872266748628098	38.8	0.5
MYO1B	0.539278800328552	11.1	2.8
IGSF10	0.492597794446411	5.5	0.9
ANXA2R	0.422904543942584	111	32
AP002852.1	0.358119708247636	16.6	1.4
TSHR	0.282606308674858	22.2	0.6
CMA1	0.280820148876716	11.1	0.1
TMEM97	0.277655059897909	149.8	32.2
SCRN1	0.267420503354795	5.5	0.5
IL2RA	0.264536238669568	1792.5	1008.1
FAM71B	0.2597749496734	5.5	0.1
MMP12	0.258250645212338	5.5	2.5
PYDC1	0.257900403362706	11.1	0.1
LHX1	0.248661269324966	5.5	0.7
TRBV7-4	0.231683430976082	22.2	2.4
FAM234B	0.209470494362176	16.6	0.8
AL031733.2	0.198057317400893	11.1	0.6
RASSF4	0.195604545969301	5.5	0.6
AC026803.2	0.179830050140969	5.5	0.2
SV2C	0.17472977222259	11.1	0.6
FAM124A	0.171676818719459	5.5	0.3
RAPGEF5	0.171210091954284	5.5	0.2
RFX2	0.16666591142171	16.6	7.9
HMGCR	0.165996874704336	99.9	35.6
CCR4	0.164108163052321	111	49
TRBV12-2	0.163876974363966	22.2	0.7
TRBV7-9	0.155970714233015	144.3	77.7
CMYA5	0.150567041977414	11.1	0.3
LIN7A	0.14047431925159	5.5	1.4
SCML1	0.136907252958077	11.1	0.6
SLC2A6	0.121554854452649	22.2	2.6
MTCH2	0.120281312102456	177.6	94.4
TBC1D12	0.116322061898909	5.5	0.8
TIE1	0.113913610174533	11.1	1
AC022154.1	0.113579530695916	5.5	0.2
ACOT11	0.113393106103632	16.6	0.8
HSPA1B	0.107596146401147	155.4	66.9
STON2	0.103989691719196	5.5	0.3
