cor	gene
0.504	MT-CO3
0.494	HSP90B1
0.467	HSPA5
0.425	MT-CO1
0.411	HYOU1
0.404	BRCA1
0.398	MT-CO2
0.397	MT-ND4
0.39	CCDC88A
0.386	MT-ATP6
0.378	MT-ND6
0.374	POLQ
0.374	BRCA2
0.357	ATP2A2
0.356	MT-ND1
0.353	PDIA4
0.353	MT-ND4L
0.352	CALR
0.348	CANX
0.345	MT-ATP8
0.344	NF1
0.344	MT-CYB
0.336	MT-ND5
0.335	IGF2R
0.333	PDIA3
0.324	SPG7
0.321	MBOAT7
0.315	DYNC1H1
0.309	GRN
0.304	DNAJB11
0.299	CLU
0.298	NAPSA
0.298	CRELD2
0.297	NFAT5
0.296	TM9SF2
0.295	ZGRF1
0.294	BAZ2B
0.294	MT-ND2
0.292	UGGT1
0.29	AC092683.1
0.289	UBR4
0.288	GANAB
0.285	BAZ2A
0.285	SEL1L
0.284	KNTC1
0.282	CLTC
0.28	OS9
0.28	GTF3C1
0.279	PRKDC
0.278	CD63
0.272	SERINC1
0.272	DYNC1LI2
0.271	POLR2J3.1
0.268	HSPH1
0.265	ATXN2
0.264	HSPD1
0.264	MT-ND3
0.263	KMT2A
0.262	RERE
0.262	EIF4G3
0.261	XRCC2
0.259	ATAD5
0.258	HSD17B12
0.258	ORC6
0.257	ASH1L
0.257	TPR
0.256	FANCD2
0.255	HELLS
0.254	PLEC
0.252	ATP1A1
0.252	KIAA1109
0.251	ANKRD17
0.251	AKAP9
0.25	MCM10
0.248	CDC37
0.247	POLR2A
0.246	CEP295
0.245	GOLGB1
0.245	SUDS3
0.245	ARID4A
0.244	SETX
0.243	MAGT1
0.243	ANKLE2
0.242	RANBP2
0.242	ITPR1
0.242	RPN1
0.242	WDR60
0.24	RIF1
0.239	NUP214
0.239	CLPTM1
0.238	PHF21A
0.238	HERC2
0.237	GOLGA4
0.237	PHIP
0.235	NKTR
0.234	RRBP1
0.233	UBR5
0.232	PRKCSH
0.231	SETD2
0.231	LPP
0.231	HMGCR
0.23	FTX
0.23	TRIP11
0.23	WSB1
0.23	AP3D1
0.229	INTS3
0.229	USP37
0.229	ATAD2
0.229	CBWD1
0.228	CCDC47
0.227	NBAS
0.227	ERP44
0.226	MANF
0.225	PDIA6
0.225	NEMP1
0.225	KIAA0100
0.224	TRIP12
0.224	PLOD3
0.224	HIPK2
0.224	BCAP31
0.223	CTNNA1
0.223	SRPRA
0.223	CHAF1A
0.222	SLC35B1
0.222	HM13
0.221	UROD
0.221	MBD5
0.221	TNFRSF10D
0.221	MFSD14C
0.221	FUS
0.221	CPD
0.22	EMC1
0.22	DNAJC3
0.219	PTCD3
0.219	ABI2
0.219	PARP14
0.219	DYNC2H1
0.219	AC124312.1
0.218	CEP350
0.218	PCM1
0.218	APLP2
0.218	GPATCH2L
0.217	KIDINS220
0.217	CTSD
0.217	ANKRD11
0.217	ATP9B
0.216	TMEM131
0.216	MSRB2
0.216	POC1B-AS1
0.215	NASP
0.215	ANKRD26
0.215	CHD4
0.215	ZNF90
0.214	ATP13A2
0.214	ANKRD36
0.214	KIAA0232
0.214	TP53BP1
0.214	MCM8
0.213	CLSPN
0.213	NOMO1
0.213	NPEPPS
0.212	IARS2
0.212	ZNF66
0.212	LIG1
0.211	DDOST
0.211	HSP90AB1
0.21	ARHGEF12
0.21	RBBP6
0.21	LONP2
0.209	PRRC2C
0.209	IPO9
0.208	ZNF638
0.208	MUC20-OT1
0.208	MARCH6
0.208	TONSL
0.208	ZNF43
0.207	TFRC
0.207	ERLIN2
0.206	XPO1
0.206	BAZ1B
0.206	MASTL
0.206	DIAPH3
0.206	BAZ1A
0.205	GPATCH2
0.205	ITM2C
0.205	NUP210
0.205	MYO1C
0.204	SFPQ
0.204	NDUFS1
0.204	HUWE1
0.204	STT3A
0.204	FNDC3A
0.204	YLPM1
0.204	NPIPB5
0.203	ASPM
0.203	LMAN2
0.203	GMDS-DT
0.203	NUP205
0.203	KTN1
0.202	ZNF326
0.202	ACBD6
0.202	GEN1
0.202	U2SURP
0.201	MIR4435-2HG
0.201	MCM7
0.201	SMC2
0.201	MRE11
0.201	TM9SF3
0.201	CDK12
0.199	SRSF11
0.199	PKN2
0.199	RNPC3
0.199	SGO1
0.199	ZNF519
0.198	BIRC6
0.198	GTF3C3
0.198	FANCB
0.198	GRAMD1B
0.198	MLEC
0.198	POLE
0.198	RFC3
0.198	STRN3
0.198	NCBP3
0.198	KDM6B
0.198	YES1
0.198	SLC39A6
0.197	SSR1
0.197	ZDHHC21
0.197	GOLGA2
0.197	KDM5A
0.197	GNS
0.197	CEP128
0.197	PHKB
0.197	CDK5RAP3
0.196	MMS22L
0.196	TAOK1
0.196	SERINC3
0.196	TOMM40
0.195	MSH6
0.195	UBR3
0.195	TNKS
0.195	NUP107
0.195	RBM25
0.195	PRPF8
0.195	EPN1
0.194	WDR26
0.194	GCC2
0.194	CCDC150
0.194	SNX9
0.194	PIEZO1
0.194	SIRPG
0.193	LSG1
0.193	BRD8
0.193	TPCN1
0.193	SFSWAP
0.193	PNPLA6
0.193	ZNF714
0.192	SNRNP200
0.192	RBM5
0.192	GTF2I
0.192	RB1CC1
0.192	TTC17
0.192	SPAG9
0.192	SAFB2
0.191	ZMPSTE24
0.191	BOD1L1
0.191	NCKAP1L
0.191	EP400
0.191	ZMYM2
0.191	PIGN
0.19	HLTF
0.19	TBCK
0.19	PPIL4
0.19	ZNF107
0.19	GOLGA8A
0.189	QSOX1
0.189	TRIM44
0.189	ATP6V0A2
0.189	ATP6V0A1
0.189	TNRC6B
0.188	CLASP2
0.188	TCERG1
0.188	UTRN
0.187	FOXJ3
0.187	CYTOR
0.187	ERBIN
0.186	POU2F1
0.186	MIA3
0.186	ANKRD36B
0.186	AFF4
0.186	LTBP3
0.186	UBE4A
0.186	LARP4
0.185	PSMD1
0.185	USP40
0.185	RAD18
0.185	VPS13B
0.185	NCAPD3
0.185	TNKS2
0.185	ACTN1
0.185	NOMO2
0.184	RAD54L
0.184	EIF4G1
0.184	BDP1
0.184	FAF2
0.184	POM121
0.184	PTK2
0.184	GPR107
0.184	PTPN11
0.184	TM9SF4
0.184	RPN2
0.184	SUGP2
0.184	CDC45
0.183	KIAA0319L
0.183	C5orf15
0.183	SHPRH
0.183	EXOC4
0.183	PHF20L1
0.183	CBX5
0.183	GOLGA3
0.183	ARHGEF7
0.183	EP300
0.182	YIPF4
0.182	SMARCC1
0.182	DHFR
0.182	SAR1B
0.182	CYP51A1
0.182	ARFGEF1
0.182	RC3H2
0.182	JMJD1C
0.182	CD4
